filename,label,category,width,height,xmin,ymin,xmax,ymax
Abyssinian_100.jpg,1,Abyssinian,394.0,500.0,151.0,71.0,335.0,267.0
Abyssinian_102.jpg,1,Abyssinian,500.0,465.0,23.0,27.0,325.0,320.0
Abyssinian_103.jpg,1,Abyssinian,500.0,351.0,241.0,68.0,362.0,196.0
Abyssinian_104.jpg,1,Abyssinian,,,,,,
Abyssinian_109.jpg,1,Abyssinian,282.0,450.0,81.0,7.0,246.0,146.0
Abyssinian_10.jpg,1,Abyssinian,375.0,500.0,72.0,105.0,288.0,291.0
Abyssinian_110.jpg,1,Abyssinian,400.0,319.0,25.0,8.0,175.0,162.0
Abyssinian_111.jpg,1,Abyssinian,500.0,402.0,298.0,94.0,423.0,213.0
Abyssinian_113.jpg,1,Abyssinian,640.0,425.0,300.0,95.0,403.0,196.0
Abyssinian_115.jpg,1,Abyssinian,500.0,367.0,238.0,52.0,391.0,175.0
Abyssinian_117.jpg,1,Abyssinian,500.0,401.0,72.0,102.0,217.0,222.0
Abyssinian_118.jpg,1,Abyssinian,333.0,500.0,1.0,34.0,257.0,303.0
Abyssinian_119.jpg,1,Abyssinian,300.0,297.0,39.0,51.0,156.0,179.0
Abyssinian_11.jpg,1,Abyssinian,192.0,288.0,43.0,57.0,94.0,105.0
Abyssinian_120.jpg,1,Abyssinian,267.0,400.0,63.0,85.0,166.0,180.0
Abyssinian_121.jpg,1,Abyssinian,242.0,233.0,68.0,13.0,195.0,138.0
Abyssinian_122.jpg,1,Abyssinian,300.0,278.0,195.0,10.0,278.0,100.0
Abyssinian_123.jpg,1,Abyssinian,500.0,333.0,153.0,81.0,333.0,221.0
Abyssinian_124.jpg,1,Abyssinian,333.0,500.0,88.0,94.0,207.0,195.0
Abyssinian_125.jpg,1,Abyssinian,500.0,359.0,215.0,23.0,393.0,176.0
Abyssinian_126.jpg,1,Abyssinian,500.0,423.0,88.0,87.0,204.0,182.0
Abyssinian_127.jpg,1,Abyssinian,266.0,400.0,96.0,246.0,179.0,328.0
Abyssinian_128.jpg,1,Abyssinian,500.0,375.0,46.0,22.0,166.0,168.0
Abyssinian_129.jpg,1,Abyssinian,333.0,500.0,114.0,94.0,252.0,224.0
Abyssinian_12.jpg,1,Abyssinian,335.0,500.0,94.0,83.0,211.0,190.0
Abyssinian_130.jpg,1,Abyssinian,333.0,500.0,93.0,85.0,255.0,230.0
Abyssinian_131.jpg,1,Abyssinian,311.0,320.0,17.0,25.0,206.0,180.0
Abyssinian_132.jpg,1,Abyssinian,500.0,333.0,200.0,106.0,278.0,179.0
Abyssinian_133.jpg,1,Abyssinian,700.0,496.0,63.0,50.0,219.0,227.0
Abyssinian_134.jpg,1,Abyssinian,500.0,440.0,74.0,1.0,389.0,309.0
Abyssinian_135.jpg,1,Abyssinian,333.0,500.0,20.0,58.0,257.0,278.0
Abyssinian_136.jpg,1,Abyssinian,333.0,500.0,105.0,38.0,227.0,157.0
Abyssinian_137.jpg,1,Abyssinian,1600.0,1200.0,593.0,108.0,1017.0,549.0
Abyssinian_138.jpg,1,Abyssinian,500.0,333.0,250.0,60.0,378.0,186.0
Abyssinian_139.jpg,1,Abyssinian,500.0,333.0,106.0,60.0,227.0,168.0
Abyssinian_13.jpg,1,Abyssinian,245.0,280.0,145.0,25.0,218.0,96.0
Abyssinian_140.jpg,1,Abyssinian,500.0,333.0,231.0,87.0,323.0,154.0
Abyssinian_143.jpg,1,Abyssinian,500.0,461.0,160.0,20.0,411.0,260.0
american_bulldog_100.jpg,2,American Bulldog,500.0,333.0,204.0,105.0,290.0,202.0
american_bulldog_101.jpg,2,American Bulldog,500.0,334.0,168.0,35.0,319.0,178.0
american_bulldog_103.jpg,2,American Bulldog,375.0,500.0,126.0,119.0,237.0,226.0
american_bulldog_104.jpg,2,American Bulldog,500.0,332.0,96.0,29.0,360.0,253.0
american_bulldog_105.jpg,2,American Bulldog,500.0,332.0,166.0,73.0,375.0,241.0
american_bulldog_106.jpg,2,American Bulldog,325.0,500.0,4.0,10.0,160.0,153.0
american_bulldog_108.jpg,2,American Bulldog,375.0,500.0,92.0,132.0,247.0,265.0
american_bulldog_109.jpg,2,American Bulldog,335.0,500.0,147.0,156.0,254.0,256.0
american_bulldog_10.jpg,2,American Bulldog,500.0,334.0,103.0,47.0,330.0,268.0
american_bulldog_111.jpg,2,American Bulldog,500.0,333.0,95.0,16.0,341.0,276.0
american_bulldog_112.jpg,2,American Bulldog,333.0,500.0,64.0,64.0,217.0,206.0
american_bulldog_113.jpg,2,American Bulldog,500.0,333.0,169.0,15.0,445.0,245.0
american_bulldog_114.jpg,2,American Bulldog,500.0,375.0,128.0,52.0,295.0,206.0
american_bulldog_115.jpg,2,American Bulldog,500.0,333.0,182.0,49.0,298.0,173.0
american_bulldog_116.jpg,2,American Bulldog,375.0,500.0,152.0,37.0,293.0,167.0
american_bulldog_117.jpg,2,American Bulldog,375.0,500.0,86.0,68.0,257.0,222.0
american_bulldog_120.jpg,2,American Bulldog,500.0,334.0,105.0,63.0,257.0,194.0
american_bulldog_121.jpg,2,American Bulldog,500.0,333.0,306.0,101.0,415.0,168.0
american_bulldog_122.jpg,2,American Bulldog,500.0,333.0,168.0,19.0,331.0,162.0
american_bulldog_124.jpg,2,American Bulldog,375.0,500.0,111.0,77.0,312.0,277.0
american_bulldog_125.jpg,2,American Bulldog,500.0,465.0,82.0,11.0,359.0,234.0
american_bulldog_126.jpg,2,American Bulldog,353.0,500.0,123.0,8.0,279.0,153.0
american_bulldog_127.jpg,2,American Bulldog,500.0,334.0,154.0,113.0,258.0,214.0
american_bulldog_129.jpg,2,American Bulldog,382.0,500.0,164.0,32.0,351.0,186.0
american_bulldog_12.jpg,2,American Bulldog,500.0,333.0,183.0,60.0,401.0,256.0
american_bulldog_131.jpg,2,American Bulldog,500.0,376.0,84.0,104.0,322.0,320.0
american_bulldog_133.jpg,2,American Bulldog,500.0,334.0,213.0,27.0,394.0,209.0
american_bulldog_134.jpg,2,American Bulldog,500.0,334.0,167.0,30.0,322.0,167.0
american_bulldog_135.jpg,2,American Bulldog,500.0,334.0,284.0,58.0,363.0,128.0
american_bulldog_136.jpg,2,American Bulldog,333.0,500.0,57.0,142.0,230.0,340.0
american_bulldog_137.jpg,2,American Bulldog,500.0,333.0,225.0,80.0,315.0,170.0
american_bulldog_138.jpg,2,American Bulldog,333.0,500.0,66.0,189.0,224.0,315.0
american_bulldog_139.jpg,2,American Bulldog,334.0,500.0,125.0,142.0,218.0,232.0
american_bulldog_13.jpg,2,American Bulldog,500.0,333.0,1.0,1.0,367.0,303.0
american_bulldog_140.jpg,2,American Bulldog,500.0,333.0,29.0,1.0,451.0,310.0
american_bulldog_141.jpg,2,American Bulldog,333.0,500.0,27.0,87.0,267.0,287.0
american_bulldog_142.jpg,2,American Bulldog,333.0,500.0,84.0,34.0,320.0,246.0
american_bulldog_143.jpg,2,American Bulldog,500.0,333.0,223.0,24.0,485.0,250.0
american_bulldog_144.jpg,2,American Bulldog,500.0,375.0,147.0,44.0,332.0,221.0
